location,latitude,longitude,buffer_m,mean_elevation,std_elevation,min_elevation,max_elevation,mean_slope,std_slope,steep_fraction_30deg,steep_fraction_35deg
Narvik Ski Resort,68.47375268157305,17.429653561603484,5000,33.25102233886719,82.95304107666016,0.0,499.3774719238281,3.9974429874166844,8.958718808459235,0.029950300810881507,0.018359130662238852
Strandafjellet Skisenter,62.399663364662885,6.899584741440454,5000,295.7999267578125,283.7981872558594,-0.6635492444038391,963.1273803710938,16.011644867888005,16.879860254446346,0.21425176270594637,0.14906636796558312
Skimore Oslo,60.163287696205884,10.743011831983127,5000,382.26983642578125,117.79667663574219,165.43612670898438,669.4664306640625,9.83930411089184,7.484455060628929,0.017765792562198193,0.007698382123883159
Norefjell,60.22504485319862,9.552881597110982,5000,638.0611572265625,319.4621887207031,133.09725952148438,1341.885986328125,12.876173732743524,9.380124744348999,0.05358871167004752,0.026557514966775986
Hafjell,61.29805193508792,10.403023844075184,5000,641.72412109375,247.9812469482422,172.00975036621094,1000.2678833007812,10.62886878365955,9.499874151066024,0.047771803846570204,0.02692599141197272
Kvitfjell ski resort,61.510160873788585,10.0875276091632,5000,602.1471557617188,299.1398620605469,181.39739990234375,1102.56005859375,11.819647047559675,9.879717720229962,0.055568425134671966,0.026389178632175627
Drammen ski center,59.823446420964814,10.13062504674089,5000,406.4234924316406,110.14186096191406,39.04932403564453,606.169921875,12.190075145808185,9.749737276927648,0.05833191482826276,0.032055228268395665
Voss Resort Fjellheisar,60.66679721890424,6.4163768467408895,5000,543.7801513671875,388.43756103515625,46.28334426879883,1410.8897705078125,17.12806576941622,12.663999287020765,0.1509331572224654,0.08968471547087899
Myrkdalen Fjellandsby,60.91609240579905,6.531733285654033,5000,1074.1302490234375,172.2444305419922,474.54132080078125,1415.6961669921875,16.38819507824191,11.488034386346454,0.12458804903864244,0.07471750562813002
Nedre fjellheisstasjon Narvik,68.48097085721196,17.40440897292097,5000,45.561309814453125,100.94940185546875,0.0,469.9012756347656,3.396262191802793,8.31741384067772,0.027151094631805664,0.019077673873333516
Skimore Kongsberg,59.726222161412714,9.644141538014194,5000,345.9690246582031,121.2574691772461,155.71298217773438,655.5784301757812,11.722370995213533,8.592877224991827,0.03797585618622065,0.016067402482717465
Eikedalen Ski Center AS,60.48535825973864,5.921807746740899,5000,770.3938598632812,178.232177734375,281.85858154296875,1173.6982421875,17.677043381513638,12.781987349938252,0.16162912994596162,0.10182666618310182
Hemsedal Skisenter,60.910916204614885,8.494636927952046,5000,1149.474365234375,277.269775390625,631.060791015625,1735.7677001953125,16.39557624089367,11.122826626830069,0.11815949018173538,0.06333852485024936
Rauland Skisenter,59.81912239767133,8.161511965529717,5000,943.588134765625,36.696319580078125,902.8984375,1140.745361328125,3.909271243465312,4.730128943519946,0.0011407626503718911,0.0003946942503396416
Vrådal Panorama,59.36593432520996,8.430676989660377,5000,468.4437561035156,260.27520751953125,71.96083068847656,1016.0472412109375,17.97567468120976,13.747290680036011,0.19868993532653006,0.12351935273617602
Galdhøpiggen Summer Ski Centre,61.74877912234984,8.373904910498657,5000,1036.289306640625,293.7135925292969,480.12353515625,1780.329345703125,18.906172119331945,12.36891116691026,0.19250751916756625,0.12038361578796788
SkiGeilo,60.56868628949149,8.144531465087947,5000,1111.629150390625,131.5829620361328,741.5015258789062,1679.538818359375,9.931698694567844,7.485226726345207,0.020402181898230985,0.007974781720586993
Sauda Ski Centre,59.65347720745357,6.223121107043404,5000,692.8645629882812,236.00479125976562,-0.006234799046069384,1124.791748046875,18.376155745164017,12.91648773211538,0.17313265029463196,0.11039308305163584
Hovden Alpinsenter,59.59545094991248,7.326028486460486,5000,994.7398681640625,143.97640991210938,758.4049072265625,1340.481689453125,12.479264462702101,10.692518781246182,0.07533308589200466,0.04211280764849679
Bjorli Ski,62.37332305036026,8.277476069954428,5000,1323.611328125,223.78439331054688,612.8782348632812,1964.691162109375,17.21069292254763,12.016244122330017,0.14850354899874685,0.08099675246294812
